file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes
117,117_module.audio.flac.php,wordpress_4.0/wp-includes\ID3\module.audio.flac.php,442,17.6,3,True
118,118_continents-cities.php,wordpress_4.0/wp-admin\includes\continents-cities.php,493,17.5,0,False
119,119_feed.php,wordpress_4.0/wp-includes\feed.php,659,17.5,4,True
120,120_functions.php,wordpress_4.0/wp-content\themes\twentythirteen\functions.php,531,17.3,2,True
121,121_functions.php,wordpress_4.0/wp-content\themes\twentytwelve\functions.php,499,17.2,1,True
122,122_Entities.php,wordpress_4.0/wp-includes\SimplePie\Decode\HTML\Entities.php,617,16.9,4,True
123,123_custom-background.php,wordpress_4.0/wp-admin\custom-background.php,482,16.7,3,True
124,124_date.php,wordpress_4.0/wp-includes\date.php,452,16.6,2,True
125,125_theme.php,wordpress_4.0/wp-admin\includes\theme.php,457,16.5,3,True
126,126_themes.php,wordpress_4.0/wp-admin\themes.php,374,16.2,5,True
127,127_functions.php,wordpress_4.0/wp-content\themes\twentyfourteen\functions.php,515,16.0,1,True
128,128_update.php,wordpress_4.0/wp-admin\includes\update.php,432,15.9,3,True
129,129_http.php,wordpress_4.0/wp-includes\http.php,551,15.7,2,True
130,130_module.tag.apetag.php,wordpress_4.0/wp-includes\ID3\module.tag.apetag.php,370,15.7,5,True
131,131_users.php,wordpress_4.0/wp-admin\users.php,460,15.6,2,True
132,132_native.php,wordpress_4.0/wp-includes\Text\Diff\Engine\native.php,436,15.5,4,True
133,133_Sanitize.php,wordpress_4.0/wp-includes\SimplePie\Sanitize.php,554,15.3,3,True
134,134_widgets.php,wordpress_4.0/wp-admin\widgets.php,442,15.3,6,True
135,135_ms-load.php,wordpress_4.0/wp-includes\ms-load.php,458,15.2,3,True
136,136_settings.php,wordpress_4.0/wp-admin\network\settings.php,347,15.0,2,True
137,137_class-wp-ms-sites-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-ms-sites-list-table.php,402,15.0,5,True
138,138_options-permalink.php,wordpress_4.0/wp-admin\options-permalink.php,294,14.9,3,True
139,139_featured-content.php,wordpress_4.0/wp-content\themes\twentyfourteen\inc\featured-content.php,533,14.9,4,True
140,140_class-wp-plugin-install-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-plugin-install-list-table.php,488,14.9,4,True
141,141_class-wp-admin-bar.php,wordpress_4.0/wp-includes\class-wp-admin-bar.php,517,14.8,3,True
142,142_class-wp-ms-themes-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-ms-themes-list-table.php,459,14.8,5,True
143,143_author-template.php,wordpress_4.0/wp-includes\author-template.php,471,14.8,2,True
144,144_user.php,wordpress_4.0/wp-admin\includes\user.php,442,14.7,4,True
145,145_default-filters.php,wordpress_4.0/wp-includes\default-filters.php,306,14.6,1,True
146,146_class-wp-terms-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-terms-list-table.php,466,14.4,3,True
147,147_edit.php,wordpress_4.0/wp-admin\edit.php,330,14.1,4,True
148,148_class-wp-customize-setting.php,wordpress_4.0/wp-includes\class-wp-customize-setting.php,554,14.0,6,True
149,149_options-general.php,wordpress_4.0/wp-admin\options-general.php,355,13.9,3,True
150,150_cron.php,wordpress_4.0/wp-includes\cron.php,468,13.9,3,True
151,151_wp-diff.php,wordpress_4.0/wp-includes\wp-diff.php,523,13.8,5,True
152,152_class-wp-theme-install-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-theme-install-list-table.php,431,13.6,4,True
